,country,times,win,goals,rate of winning,Average goal
20,英格兰,1.9733552614526437,1.4785895877254656,1.333291051667536,0.9263108357392598,0.5228635418722941
21,瑞典,1.2183857524054424,0.7556060087541586,1.0885559013614479,0.6670758194169675,0.974857753375366
22,苏格兰,0.043988738332018426,-0.3288693597028018,-0.1351198501689933,-0.41152701635257244,0.10326481993087507
23,韩国,0.29564524134775216,-0.18427264390854042,-0.04612525005768849,-0.23242499152891916,-0.05408470079715688
24,哥伦比亚,0.0020459878293961364,0.03262242978285165,0.02062070002579012,0.8655000242805404,0.7684241575539198
25,俄罗斯,0.9667292493897087,0.7556060087541586,1.0218099512779693,0.9368036816380193,1.2326847131565268
26,保加利亚,0.1698169898398853,-0.40116771759993247,-0.20186580025247192,-0.7293391757861523,-0.3324723143929059
27,朝鲜,-0.41738151719682676,-0.5457644333941939,-0.44660095055856014,-0.9033791678569223,-0.20487799149485433
28,葡萄牙,0.33758799185037447,0.3941142192685051,0.3988477504988356,1.1781391373094872,1.091944308505343
29,以色列,-0.7948662717204273,-0.6180627912913246,-0.6690874508368222,-1.3558831472409243,-1.2604310263787362
30,摩洛哥,-0.2496105151863376,-0.4734660754970632,-0.37985500047508153,-0.6771271781649213,-0.28027463684370296
31,萨尔瓦多,-0.6690380202125604,-0.6180627912913246,-0.6690874508368222,-1.3558831472409243,-1.5620176077741308
32,刚果民主共和国,-0.8368090222230496,-0.6180627912913246,-0.6913361008646484,-1.3558831472409243,-1.8636041891695254
33,民主德国,-0.6690380202125604,-0.4734660754970632,-0.5800928507255173,0.4541327702950837,-0.35567128219255156
34,波兰,0.5053589938608636,0.5387109350627665,0.332101800415357,1.199433442221675,0.584569236275444
35,南斯拉夫,0.46341624335824133,0.3941142192685051,0.5323396506657928,0.9477734750776315,1.1522616247844224
36,海地,-0.7948662717204273,-0.6180627912913246,-0.6468388008089959,-1.3558831472409243,-0.6572578635879465
37,澳大利亚,-0.2496105151863376,-0.4734660754970632,-0.40210365050290775,-0.6771271781649213,-0.393369604866976
38,伊朗,-0.2915532656889599,-0.4734660754970632,-0.49109825061421253,-0.6318767802265212,-0.7778924961461043
39,阿尔及利亚,-0.37543876669420445,-0.40116771759993247,-0.40210365050290775,-0.10279520433138004,-0.05408470079715688
40,洪都拉斯,-0.5432097687046936,-0.6180627912913246,-0.6245901507811698,-1.3558831472409243,-1.2604310263787362
41,加拿大,-0.7948662717204273,-0.6180627912913246,-0.6913361008646484,-1.3558831472409243,-1.8636041891695254
42,北爱尔兰,-0.37543876669420445,-0.40116771759993247,-0.40210365050290775,-0.10279520433138004,-0.05408470079715688
43,丹麦,-0.08183951317584844,0.03262242978285165,-0.023876600029862288,1.0876383414326867,0.8506750433890274
