home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
乌拉圭,南斯拉夫,56,33,24,14,87,55,0.42857142857142855,0.42424242424242425,1.5535714285714286,1.6666666666666667,1
乌拉圭,阿根廷,56,81,24,43,87,137,0.42857142857142855,0.5308641975308642,1.5535714285714286,1.6913580246913582,1
阿根廷,瑞典,81,51,43,19,137,80,0.5308641975308642,0.3725490196078432,1.6913580246913582,1.568627450980392,0
奥地利,法国,29,66,12,34,43,120,0.4137931034482759,0.5151515151515151,1.4827586206896552,1.818181818181818,1
比利时,德国,48,109,20,67,68,226,0.4166666666666667,0.6146788990825688,1.4166666666666667,2.073394495412844,0
巴西,西班牙,109,63,73,30,229,99,0.6697247706422018,0.4761904761904762,2.1009174311926606,1.5714285714285714,0
捷克斯洛伐克,罗马尼亚,30,21,11,8,44,30,0.36666666666666653,0.3809523809523809,1.4666666666666666,1.4285714285714286,1
埃及,匈牙利,7,32,0,15,5,87,0.0,0.46875,0.7142857142857143,2.71875,0
意大利,美国,83,33,45,8,128,37,0.5421686746987951,0.24242424242424246,1.5421686746987953,1.1212121212121209,1
荷兰,瑞士,50,37,27,12,86,50,0.54,0.32432432432432434,1.72,1.351351351351351,0
奥地利,匈牙利,29,32,12,15,43,87,0.4137931034482759,0.46875,1.4827586206896552,2.71875,1
捷克斯洛伐克,瑞士,30,37,11,12,44,50,0.36666666666666653,0.32432432432432434,1.4666666666666666,1.351351351351351,1
德国,瑞典,109,51,67,19,226,80,0.6146788990825688,0.3725490196078432,2.073394495412844,1.568627450980392,1
意大利,西班牙,83,63,45,30,128,99,0.5421686746987951,0.4761904761904762,1.5421686746987953,1.5714285714285714,-1
意大利,西班牙,83,63,45,30,128,99,0.5421686746987951,0.4761904761904762,1.5421686746987953,1.5714285714285714,1
捷克斯洛伐克,德国,30,109,11,67,44,226,0.36666666666666653,0.6146788990825688,1.4666666666666666,2.073394495412844,1
意大利,奥地利,83,29,45,12,128,43,0.5421686746987951,0.4137931034482759,1.5421686746987953,1.4827586206896552,1
奥地利,德国,29,109,12,67,43,226,0.4137931034482759,0.6146788990825688,1.4827586206896552,2.073394495412844,0
意大利,捷克斯洛伐克,83,30,45,11,128,44,0.5421686746987951,0.36666666666666653,1.5421686746987953,1.4666666666666666,1
德国,瑞士,109,37,67,12,226,50,0.6146788990825688,0.32432432432432434,2.073394495412844,1.351351351351351,-1
巴西,波兰,109,34,73,16,229,46,0.6697247706422018,0.4705882352941176,2.1009174311926606,1.3529411764705883,1
古巴,罗马尼亚,3,21,1,8,5,30,0.3333333333333333,0.3809523809523809,1.6666666666666667,1.4285714285714286,-1
捷克斯洛伐克,荷兰,30,50,11,27,44,86,0.36666666666666653,0.54,1.4666666666666666,1.72,1
法国,比利时,66,48,34,20,120,68,0.5151515151515151,0.4166666666666667,1.818181818181818,1.4166666666666667,1
匈牙利,印度尼西亚,32,1,15,0,87,0,0.46875,0.0,2.71875,0.0,1
意大利,挪威,83,8,45,2,128,7,0.5421686746987951,0.25,1.5421686746987953,0.875,1
古巴,罗马尼亚,3,21,1,8,5,30,0.3333333333333333,0.3809523809523809,1.6666666666666667,1.4285714285714286,1
德国,瑞士,109,37,67,12,226,50,0.6146788990825688,0.32432432432432434,2.073394495412844,1.351351351351351,0
巴西,捷克斯洛伐克,109,30,73,11,229,44,0.6697247706422018,0.36666666666666653,2.1009174311926606,1.4666666666666666,-1
古巴,瑞典,3,51,1,19,5,80,0.3333333333333333,0.3725490196078432,1.6666666666666667,1.568627450980392,0
法国,意大利,66,83,34,45,120,128,0.5151515151515151,0.5421686746987951,1.818181818181818,1.5421686746987953,0
