,country,times,win,goals,rate of winning,Average goal
31,萨尔瓦多,0.046296296296296294,0.0,0.004366812227074236,0.0,0.06130268199233716
32,刚果民主共和国,0.009259259259259259,0.0,0.0,0.0,0.0
33,民主德国,0.046296296296296294,0.0273972602739726,0.021834061135371178,0.4977168949771689,0.30651340996168586
34,波兰,0.3055555555555556,0.2191780821917808,0.20087336244541484,0.7026591458501208,0.49763353617309
35,南斯拉夫,0.2962962962962963,0.1917808219178082,0.24017467248908297,0.6334578663345787,0.6130268199233717
36,海地,0.018518518518518517,0.0,0.008733624454148471,0.0,0.24521072796934865
37,澳大利亚,0.1388888888888889,0.0273972602739726,0.056768558951965066,0.18664383561643835,0.2988505747126437
38,伊朗,0.12962962962962962,0.0273972602739726,0.039301310043668124,0.19908675799086759,0.2206896551724138
39,阿尔及利亚,0.1111111111111111,0.0410958904109589,0.056768558951965066,0.34457323498419395,0.367816091954023
40,洪都拉斯,0.07407407407407407,0.0,0.013100436681222707,0.0,0.12260536398467432
41,加拿大,0.018518518518518517,0.0,0.0,0.0,0.0
42,北爱尔兰,0.1111111111111111,0.0410958904109589,0.056768558951965066,0.34457323498419395,0.367816091954023
43,丹麦,0.17592592592592593,0.1232876712328767,0.13100436681222707,0.6719178082191781,0.5517241379310345
44,伊拉克,0.018518518518518517,0.0,0.004366812227074236,0.0,0.12260536398467432
45,阿拉伯联合酋长国,0.018518518518518517,0.0,0.008733624454148471,0.0,0.24521072796934865
46,美国,0.2962962962962963,0.1095890410958904,0.1615720524017467,0.3619759236197593,0.4123998606757226
47,哥斯达黎加,0.1574074074074074,0.0684931506849315,0.08296943231441048,0.4147640791476408,0.388250319284802
48,喀麦隆,0.2037037037037037,0.0547945205479452,0.07860262008733625,0.2596783799880881,0.287856071964018
49,爱尔兰,0.1111111111111111,0.0273972602739726,0.043668122270742356,0.22971548998946262,0.28293545534924847
50,挪威,0.06481481481481481,0.0273972602739726,0.03056768558951965,0.3732876712328767,0.3218390804597701
51,尼日利亚,0.18518518518518517,0.0821917808219178,0.10043668122270742,0.42661448140900193,0.40284619594964416
52,罗马尼亚,0.18518518518518517,0.1095890410958904,0.13100436681222707,0.5688193085453358,0.5254515599343186
53,沙特阿拉伯,0.1388888888888889,0.0410958904109589,0.048034934497816595,0.2799657534246575,0.25287356321839083
54,希腊,0.08333333333333333,0.0273972602739726,0.021834061135371178,0.2986301369863014,0.1839080459770115
55,牙买加,0.018518518518518517,0.0136986301369863,0.013100436681222707,0.4977168949771689,0.367816091954023
56,塞尔维亚,0.1111111111111111,0.0547945205479452,0.048034934497816595,0.45943097997892524,0.31122900088417327
57,南非,0.07407407407407407,0.0273972602739726,0.048034934497816595,0.3318112633181126,0.44955300127713926
58,日本,0.18518518518518517,0.0684931506849315,0.08733624454148471,0.355512067840835,0.35030103995621237
59,克罗地亚,0.2037037037037037,0.1506849315068493,0.15283842794759825,0.7141155449672425,0.559720139930035
60,中国,0.018518518518518517,0.0,0.0,0.0,0.0
61,突尼斯,0.12962962962962962,0.0273972602739726,0.056768558951965066,0.19908675799086759,0.31877394636015327
62,塞内加尔,0.06481481481481481,0.0410958904109589,0.048034934497816595,0.559931506849315,0.5057471264367817
63,斯洛文尼亚,0.046296296296296294,0.0136986301369863,0.021834061135371178,0.24885844748858446,0.30651340996168586
64,厄瓜多尔,0.08333333333333333,0.0547945205479452,0.043668122270742356,0.5972602739726028,0.367816091954023
65,土耳其,0.08333333333333333,0.0684931506849315,0.08733624454148471,0.7465753424657534,0.735632183908046
66,特立尼达和多巴哥,0.018518518518518517,0.0,0.0,0.0,0.0
67,安哥拉,0.018518518518518517,0.0,0.004366812227074236,0.0,0.12260536398467432
68,捷克共和国,0.018518518518518517,0.0136986301369863,0.013100436681222707,0.4977168949771689,0.367816091954023
69,多哥,0.018518518518518517,0.0,0.004366812227074236,0.0,0.12260536398467432
70,科特迪瓦,0.07407407407407407,0.0410958904109589,0.056768558951965066,0.4977168949771689,0.5312899106002554
71,迦纳,0.10185185185185185,0.0547945205479452,0.056768558951965066,0.4977168949771689,0.39846743295019155
72,乌克兰,0.037037037037037035,0.0273972602739726,0.021834061135371178,0.5972602739726028,0.367816091954023
